iid,id,idg,partner,pid,wave,round,position,positin1,order,condtn,undergrd,zipcode,career,from,field,gender,age,age_o,race,race_o,samerace,imprace,goal,date,go_out,field_cd,career_c,income,mn_sat,tuition,exphappy,expnum,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1,attr,sinc,intel,fun,amb,shar,like,prob,met,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,dec,dec_o,int_corr,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,match
14,267,230,255,257,18,4,13,18,5,1,Other,10755,Arts,FL,Business,0,30,23,6,3,0,1,1,1,6,10,13,110812,853,33003,8,6,68,13,19,18,72,10,10,6,5,8,3,7,6,9,1,3,7,3,5,1,6,7,9,1,3,7,4,3,0,0,-0.3812171780110263,2,9,8,10,6,1,8,4,5,10,1,5,10,1,10,3,2,0
15,435,295,480,83,8,1,8,8,9,1,Columbia,16938,Science,CA,Other,1,42,20,4,6,0,10,2,4,1,2,3,39401,856,59190,7,1,3,17,21,71,78,29,8,6,3,2,8,5,3,4,5,2,4,3,1,2,6,6,5,1,7,3,1,2,0,0,0.6800709225224855,5,5,1,9,8,6,8,10,3,8,9,4,5,6,7,3,9,0
16,375,227,159,196,2,7,10,17,2,1,Columbia,13302,Arts,CA,Medicine,0,39,25,4,3,0,6,2,1,4,2,1,88817,1099,43595,9,5,86,18,31,30,82,63,1,9,3,4,8,1,7,7,6,7,5,2,1,2,2,1,7,3,7,5,5,2,1,0,-0.567523916084334,7,4,9,6,2,9,5,3,7,7,2,10,7,10,10,2,10,0
17,24,115,77,446,7,1,3,1,13,2,Columbia,14837,Science,TX,Law,1,37,26,1,2,0,5,1,6,6,2,6,31599,1502,52630,2,1,59,61,97,70,62,27,6,9,8,1,2,6,8,7,7,8,10,10,6,1,6,8,8,7,8,10,10,5,1,1,0.3888241210350176,1,1,1,4,4,6,1,5,3,3,2,6,6,6,4,9,9,1
18,382,151,83,77,15,1,11,5,9,2,Columbia,11513,Arts,CA,Medicine,1,32,22,6,3,0,1,5,5,1,11,1,75949,1005,32348,9,4,40,56,30,28,70,64,3,9,7,3,7,4,5,1,2,6,6,2,5,2,3,7,4,3,1,5,3,4,0,0,-0.7179763145345668,3,7,8,9,2,8,9,7,10,4,1,9,9,9,8,4,7,0
19,374,260,377,282,21,2,16,1,9,2,Other,19071,Law,NY,Law,1,38,19,6,5,0,7,6,5,5,5,6,84873,1400,50546,8,3,98,17,65,97,34,63,7,7,10,9,10,3,2,7,6,4,5,4,4,2,6,5,10,6,3,2,2,4,0,0,-0.7653474144727057,4,9,6,3,3,4,1,6,6,7,7,7,10,5,1,3,7,0
20,82,117,276,270,13,8,13,16,1,2,NYU,13505,Medicine,NY,Science,0,30,19,5,3,0,6,6,4,7,15,1,113907,911,46722,6,1,60,18,89,67,69,75,7,2,7,7,10,2,3,1,7,2,4,5,1,1,2,2,7,6,6,3,3,4,0,0,0.3601172609108447,2,8,5,7,10,6,6,9,3,10,4,1,8,2,6,7,9,0
21,387,105,155,235,6,9,15,17,4,1,Other,15767,Law,FL,Medicine,1,39,24,6,4,0,4,2,5,5,4,16,127845,920,40129,5,3,74,28,94,18,84,80,6,2,8,10,4,5,6,10,4,2,2,6,1,2,5,6,1,2,5,2,5,3,0,0,-0.36853688424069975,10,5,6,7,1,4,6,4,4,1,3,2,9,7,3,10,4,0
22,293,207,153,294,8,2,11,15,3,2,NYU,12523,Arts,FL,Other,0,28,34,4,2,0,3,3,1,4,7,11,149830,1098,19320,7,7,79,90,76,98,49,83,2,4,4,4,9,7,4,7,7,5,4,1,1,1,3,2,5,4,5,3,5,2,0,0,0.18797734509646724,10,2,9,7,1,7,9,4,4,7,5,3,8,7,8,8,4,0
23,101,232,447,365,14,2,17,5,11,2,Columbia,19020,Law,FL,Arts,1,36,27,3,1,0,4,4,4,5,3,10,33301,1442,30455,5,2,54,18,28,69,96,33,4,4,2,5,8,9,5,5,7,6,8,9,7,1,10,6,6,8,7,9,8,8,1,1,0.06367157217457886,1,5,7,10,7,7,9,7,10,8,3,1,2,4,4,7,5,1
24,208,261,26,247,21,9,1,2,5,1,NYU,16504,Other,CA,Law,1,25,29,4,4,1,8,5,7,4,9,14,32868,1320,36987,1,6,54,35,15,82,4,33,3,6,8,7,10,7,2,4,6,4,3,2,1,2,3,4,1,2,2,2,2,4,0,0,0.9004406482069411,3,3,4,9,1,6,10,2,1,8,10,5,2,8,7,5,1,0
25,16,260,314,276,8,12,4,5,3,2,Other,12890,Business,Other,Other,1,37,19,6,5,0,1,4,7,7,9,6,24037,1494,55324,6,8,46,66,12,90,27,70,1,10,1,7,6,7,6,1,6,3,6,6,1,2,5,6,5,4,5,1,4,4,0,0,0.8349436215163297,4,4,2,9,9,1,10,8,9,1,1,7,6,6,3,10,1,0
26,201,134,249,94,7,9,19,11,1,2,Columbia,15820,Science,CA,Other,1,25,27,3,2,0,3,3,7,6,8,13,53511,1576,48234,7,9,70,4,15,7,54,48,2,7,2,3,2,3,6,10,5,3,5,1,5,2,6,7,6,6,3,7,2,2,1,0,-0.7432818700164452,6,3,2,1,8,9,10,1,10,10,9,1,10,9,3,6,7,0
27,235,94,480,449,14,8,9,11,4,1,NYU,13853,Other,TX,Arts,1,27,37,5,6,0,1,3,2,1,2,2,44892,1430,27553,1,1,98,44,11,29,63,50,8,7,9,4,9,3,6,3,5,1,2,5,3,2,6,2,1,5,7,6,1,4,0,0,-0.6853230478502175,5,3,6,1,2,5,1,1,3,6,7,10,2,5,2,5,10,0
28,318,274,21,305,16,11,11,12,5,2,Columbia,17092,Law,FL,Science,1,43,18,2,6,0,6,4,5,5,3,12,40202,1053,57930,8,2,26,4,18,93,23,96,1,1,1,3,2,7,5,4,7,7,3,4,2,1,5,6,8,4,7,4,1,2,0,0,-0.45411236203204774,10,2,4,10,10,4,3,8,10,8,1,1,9,8,3,6,4,0
29,433,54,273,490,12,8,4,8,1,2,NYU,10751,Science,CA,Law,1,33,21,2,2,1,2,1,4,6,7,5,56406,1476,55856,1,1,87,63,45,12,20,65,1,10,9,10,1,8,6,5,8,8,9,8,9,1,8,7,5,8,7,9,7,10,1,1,0.35872908209812904,3,1,8,5,5,4,2,6,1,9,9,2,4,3,9,7,2,1
30,55,168,150,34,3,9,1,12,13,1,Columbia,17111,Arts,NY,Science,1,36,30,2,5,0,8,2,4,6,9,9,133632,1440,47705,5,5,67,5,47,96,27,48,9,3,5,8,9,3,1,10,5,1,2,3,4,2,5,6,6,3,1,7,1,4,0,0,-0.47436442763959796,9,1,8,5,2,7,4,7,7,10,3,6,2,3,2,1,6,0
31,103,249,7,17,21,9,8,13,11,2,NYU,18420,Arts,Other,Business,0,43,29,5,4,0,9,6,1,7,7,4,141422,944,42424,9,9,5,66,46,65,6,14,1,9,6,10,3,3,3,5,5,7,1,3,4,2,5,4,6,4,4,6,2,3,1,0,0.22976369383491768,5,6,3,2,8,7,10,5,3,1,3,4,6,7,2,2,2,0
32,86,252,348,453,16,11,15,4,11,1,Other,19853,Science,Other,Arts,0,40,28,4,3,0,2,3,2,3,8,16,117587,1328,28516,7,5,59,65,42,17,94,33,7,8,10,10,2,6,6,6,3,2,4,3,2,2,4,5,10,1,3,6,5,3,1,0,0.15460051258400598,4,4,7,1,7,6,8,9,7,5,10,2,9,2,3,10,3,0
33,55,197,497,328,19,10,5,7,6,1,NYU,19802,Science,CA,Medicine,1,28,27,3,1,0,2,1,7,3,15,5,87921,1305,47032,9,2,12,38,80,59,75,8,4,10,7,9,8,6,6,5,2,4,7,2,4,2,1,6,3,5,6,5,5,3,0,0,0.017003958615185555,9,5,8,10,10,7,10,3,9,8,4,6,9,3,6,2,6,0
34,434,297,136,481,16,1,10,14,6,1,Other,11239,Medicine,FL,Medicine,1,30,32,5,4,0,5,2,2,3,11,13,122571,1128,12601,7,6,62,94,1,96,7,83,5,3,8,3,2,7,3,8,1,2,7,3,4,2,5,5,3,1,2,4,1,1,0,1,-0.8746487491715313,3,1,4,1,10,9,2,7,8,10,2,2,8,1,10,8,9,0
35,235,123,305,296,1,8,3,17,4,2,Columbia,16749,Science,NY,Law,1,26,22,1,3,0,8,5,7,2,6,12,60356,1069,46980,6,8,70,39,37,34,36,73,4,1,6,2,1,4,2,2,7,6,6,5,5,1,1,3,9,2,1,1,1,2,0,0,0.017344120417382314,6,9,2,8,3,9,6,2,8,2,4,6,5,8,7,1,5,0
36,391,251,45,124,18,12,4,3,1,1,NYU,17555,Business,TX,Business,0,37,42,3,4,0,6,6,1,2,12,5,26157,1151,58904,3,9,6,6,50,2,67,100,1,2,4,4,2,2,1,7,1,5,3,2,4,2,6,1,2,6,4,6,2,4,0,0,0.11286461929426972,8,5,7,6,9,10,2,8,10,9,8,10,7,3,5,4,1,0
37,366,218,212,2,6,4,12,1,4,1,Columbia,10663,Medicine,FL,Arts,1,41,34,5,2,0,6,2,7,3,13,4,56392,1489,40359,5,3,37,69,19,69,72,59,6,9,10,8,10,6,2,3,4,4,2,2,2,2,6,2,4,4,1,4,1,2,0,0,0.3270127206235134,3,9,2,4,2,8,5,2,2,5,10,3,5,10,2,8,6,0
38,441,255,177,197,11,6,17,13,12,2,NYU,10218,Law,FL,Other,0,36,22,4,4,1,3,4,4,2,10,1,49285,1315,14175,6,2,10,35,66,69,22,84,9,3,7,8,3,5,5,9,1,3,7,5,4,2,2,2,4,6,4,7,3,3,0,1,0.777456828866055,7,5,7,6,3,9,9,7,9,3,9,1,10,5,1,1,9,0
39,358,99,172,131,7,10,4,18,12,1,NYU,17705,Science,Other,Medicine,0,33,19,2,5,0,5,6,4,6,8,16,138754,803,25697,7,2,57,18,3,76,4,93,10,3,5,1,2,5,5,9,7,7,1,5,5,1,6,3,2,6,6,7,1,4,0,0,0.8572214232977091,9,10,5,1,3,6,6,6,7,5,3,4,10,3,3,7,2,0
40,310,51,320,460,1,2,5,4,10,2,NYU,10156,Medicine,CA,Other,0,24,26,2,5,0,8,6,3,4,11,15,80449,1511,55040,8,5,6,47,53,78,71,72,10,10,2,2,10,3,7,1,4,2,2,1,1,2,5,3,1,5,5,6,5,1,0,0,-0.29430889523658177,5,1,10,3,2,4,8,1,6,4,8,10,7,10,5,9,7,0
41,60,13,334,490,13,14,14,11,3,1,NYU,14707,Law,TX,Other,0,36,23,5,5,1,10,6,7,3,14,3,131621,852,29317,2,5,73,5,81,27,5,77,8,5,9,8,7,6,5,10,5,7,2,2,3,1,6,5,1,3,3,6,5,4,0,1,-0.06092065365388666,4,1,7,6,7,10,9,9,1,10,9,10,1,9,2,3,10,0
42,381,42,214,268,6,14,3,1,10,1,NYU,15533,Arts,Other,Law,0,29,35,6,3,0,3,4,1,3,17,17,36146,1278,49367,10,4,2,95,68,99,11,56,6,10,3,1,3,2,4,1,6,5,1,5,3,2,4,4,7,3,1,2,2,1,0,0,0.32261029644219663,1,3,8,2,10,9,8,7,6,8,4,5,3,1,3,4,6,0
43,373,36,438,302,13,12,4,13,1,1,Columbia,17868,Medicine,TX,Medicine,1,32,31,1,2,0,5,1,6,7,4,16,54863,1021,30046,3,1,43,53,82,93,44,79,5,6,10,7,6,7,7,8,1,7,6,6,2,2,3,4,8,6,4,4,3,3,0,0,0.5683694794105532,5,2,1,2,10,2,7,9,2,7,10,1,8,7,9,7,5,0
44,255,107,207,228,16,12,9,7,11,1,Columbia,14344,Business,Other,Medicine,1,40,36,4,1,0,3,5,2,2,6,2,50222,1463,50444,2,9,40,96,63,5,28,95,5,3,3,6,2,3,5,10,2,7,3,6,2,1,3,1,8,1,7,1,4,1,0,1,0.4707710006313328,5,2,7,7,10,2,6,4,1,6,4,10,9,5,3,6,7,0
45,460,33,286,45,7,12,12,6,5,1,Other,12739,Arts,FL,Arts,1,31,31,2,4,0,2,1,6,7,2,3,104868,1118,14890,5,1,75,62,37,30,57,58,6,6,9,6,9,3,7,3,5,3,1,4,1,1,3,3,5,6,4,1,4,3,1,0,-0.7762716603231534,6,5,1,9,3,1,4,5,10,3,2,6,8,7,10,2,7,0
46,141,189,262,376,17,9,18,15,3,2,Columbia,15028,Medicine,FL,Law,1,28,25,4,3,0,2,2,1,6,4,7,112052,875,22925,9,6,0,53,88,14,39,22,10,5,2,9,10,5,1,7,4,2,4,2,4,1,2,3,2,3,7,2,1,1,0,0,0.0019503116485677374,3,9,8,3,1,10,6,1,5,9,5,8,5,10,5,2,4,0
47,484,228,475,46,17,5,11,4,9,1,NYU,19555,Other,CA,Arts,1,43,34,3,4,0,2,4,6,3,16,14,149808,1261,14473,9,1,94,75,76,34,85,30,1,8,5,1,2,5,1,5,3,1,3,2,2,1,6,2,6,3,5,2,1,3,0,1,-0.8330511439767165,10,1,10,10,3,1,4,1,3,7,3,4,9,4,8,2,7,0
48,48,37,218,278,15,4,5,16,14,1,Other,18943,Arts,Other,Science,0,27,20,4,2,0,6,5,4,7,3,3,116012,1288,31895,10,8,73,88,25,90,63,20,8,7,3,10,8,8,6,9,8,6,5,8,9,2,8,7,8,8,5,5,8,8,1,1,0.9991777765721861,1,7,6,6,9,1,6,5,8,8,5,5,5,3,4,3,5,1
49,487,235,382,372,8,1,9,3,4,1,Columbia,17278,Science,Other,Science,1,44,27,3,3,1,2,4,4,4,12,8,68842,1335,33204,3,4,46,77,47,39,86,2,9,6,8,7,9,4,5,1,6,3,4,1,4,2,4,6,3,6,5,5,5,2,0,0,-0.9976464156265847,6,10,1,8,7,3,10,6,5,4,6,3,9,10,6,2,7,0
50,44,109,323,486,3,3,3,5,10,2,NYU,10517,Science,NY,Medicine,1,28,34,6,3,0,7,6,7,5,9,8,106251,919,56777,5,3,45,13,85,91,61,44,3,2,7,3,1,4,2,1,1,4,1,6,5,2,4,5,10,1,1,2,1,1,0,0,0.6295890718164612,10,8,4,6,6,3,8,9,9,5,2,3,6,2,7,6,10,0
51,18,134,199,388,4,3,12,5,6,2,Columbia,18237,Business,TX,Business,0,23,44,2,3,0,2,1,5,7,4,2,33787,1560,51380,2,9,92,40,8,16,33,28,5,6,5,8,6,5,5,2,6,2,3,6,5,1,1,4,5,5,4,1,4,4,0,0,-0.7920229892855462,2,1,2,2,3,10,8,3,7,2,9,5,5,1,7,8,7,0
52,198,92,402,21,16,11,16,4,5,2,NYU,13324,Medicine,CA,Medicine,1,19,28,5,6,0,4,2,7,5,5,5,38524,1570,19402,9,7,30,93,93,73,23,47,5,7,7,1,10,2,3,3,4,4,6,2,1,2,1,1,2,3,4,3,2,4,0,0,-0.19956691096987278,10,10,7,9,4,5,7,7,7,8,10,9,1,2,6,1,1,0
53,55,6,124,194,10,8,7,17,7,2,NYU,11334,Medicine,FL,Medicine,0,28,25,6,1,0,5,1,6,5,15,17,79945,1507,34641,5,3,56,33,71,56,64,74,4,4,10,9,5,7,5,6,1,2,7,3,3,2,3,2,2,2,3,6,3,2,0,0,-0.6894317062085389,3,5,3,8,3,5,1,6,1,5,5,5,10,9,7,4,10,0
54,492,133,84,51,3,8,13,9,3,1,NYU,12173,Other,Other,Other,1,36,18,6,5,0,6,6,6,3,1,9,45872,1468,24075,1,6,18,92,25,17,41,56,3,9,9,2,10,7,6,9,6,1,7,5,2,1,2,4,8,2,1,3,3,4,0,0,-0.6015139195545489,7,8,3,7,9,6,1,7,5,2,9,10,6,1,9,10,2,0
55,256,36,218,297,14,14,6,10,12,1,NYU,19696,Science,CA,Business,0,23,30,2,2,1,8,1,6,2,14,17,105514,1261,15175,4,2,80,6,40,31,44,43,9,1,6,9,7,2,1,8,2,6,4,6,2,1,1,7,6,2,5,5,4,4,1,1,0.9446849348310367,3,7,2,4,10,4,6,3,1,6,6,10,8,1,3,8,10,0
56,165,225,19,106,20,8,12,15,14,2,Other,13881,Law,FL,Science,1,31,38,6,4,0,2,5,6,1,9,15,130515,1492,27402,8,6,59,60,0,97,89,36,5,4,4,2,3,9,7,7,7,6,6,8,6,1,9,8,8,7,7,6,7,7,1,1,0.008619523544123764,9,2,5,1,4,10,8,6,9,8,6,6,9,10,3,9,3,1
57,141,84,263,190,17,1,6,16,14,2,Other,10309,Business,NY,Arts,1,37,21,5,4,0,1,5,7,3,7,7,105332,1490,38908,1,9,31,5,65,38,58,29,9,3,3,2,8,4,3,10,7,2,2,4,2,1,2,2,8,3,5,5,1,4,0,0,0.41565139515787486,8,2,9,4,7,10,4,3,10,6,5,9,5,7,2,3,5,0
58,173,59,119,420,3,1,9,6,6,1,Columbia,13253,Business,NY,Arts,0,23,24,1,6,0,1,5,5,7,12,7,144355,817,45328,9,7,94,62,59,21,39,31,10,3,7,6,2,6,2,10,6,4,4,6,2,1,4,2,9,6,2,2,2,2,0,0,0.23184717756481055,5,6,4,6,6,10,7,1,3,2,9,8,5,3,8,9,3,0
59,69,41,7,326,13,13,4,8,5,1,NYU,16801,Business,FL,Arts,0,34,31,2,4,0,10,2,1,1,6,17,24132,1501,31147,6,9,68,5,83,19,84,36,5,6,2,2,6,1,4,5,3,3,7,2,3,2,5,2,3,1,4,6,1,4,0,0,0.012003424197001511,2,3,3,3,8,10,8,7,10,6,2,1,1,3,7,4,9,0
60,394,182,160,423,18,1,2,6,7,2,Other,15856,Other,NY,Law,0,27,22,6,5,0,8,6,6,5,10,8,29568,1297,54469,6,4,7,98,85,21,39,42,7,2,2,3,3,2,1,1,3,6,2,5,2,1,5,2,9,5,1,2,4,3,0,0,-0.6909225338961273,8,1,4,5,1,7,10,4,4,7,4,6,9,5,2,5,3,0
61,462,220,167,171,2,10,8,1,2,1,NYU,18845,Arts,Other,Business,0,18,41,5,4,0,2,6,5,7,13,13,141737,880,28566,6,1,37,40,62,7,48,36,8,3,4,3,7,7,5,7,2,7,7,4,1,2,3,7,4,5,5,3,1,4,0,0,0.5752112944726349,3,7,4,7,7,8,1,1,7,9,2,1,3,10,9,4,9,0
62,338,81,53,19,21,12,11,10,4,2,Other,18270,Medicine,FL,Science,0,20,28,4,3,0,7,5,6,6,15,7,109247,1025,27858,8,8,90,0,50,50,69,41,7,3,10,10,1,1,5,6,5,3,4,4,4,2,3,3,1,3,1,6,5,2,0,1,0.5390838535624849,6,10,1,5,1,6,3,2,10,2,5,9,1,9,3,5,9,0
63,11,288,257,217,20,12,19,5,9,1,Columbia,11882,Other,CA,Business,0,25,34,3,4,0,1,5,2,4,14,8,109948,1087,52090,6,5,2,36,5,62,95,22,3,9,2,4,3,5,7,5,1,7,4,3,5,2,3,7,6,1,2,7,4,1,0,0,-0.8182125019380875,5,3,8,7,8,8,7,5,1,1,10,7,8,3,5,7,9,0
64,193,201,477,69,8,2,3,19,2,1,Other,15344,Science,CA,Medicine,0,25,22,2,2,1,7,1,2,1,5,9,64501,1242,46656,7,8,55,46,69,10,59,73,8,2,1,4,5,5,6,5,3,3,3,5,4,1,6,3,9,1,7,5,3,3,1,0,0.5677568729987701,2,1,9,10,10,9,9,6,1,8,7,4,2,7,9,2,5,0
65,439,142,255,218,6,2,3,14,3,2,NYU,17788,Arts,CA,Business,0,44,37,3,4,0,5,6,7,3,10,12,27011,956,30161,8,2,61,78,31,88,25,61,10,6,3,1,9,4,3,8,7,2,6,6,3,1,4,5,4,3,4,6,3,2,0,0,0.8982828046271125,3,3,3,1,1,10,9,4,3,4,7,10,2,8,3,2,8,0
66,402,180,130,458,4,13,7,8,13,1,NYU,14318,Science,CA,Arts,1,37,20,4,6,0,8,3,7,2,1,2,72660,1217,10264,9,3,88,53,50,3,67,92,7,6,6,3,5,2,3,1,1,5,6,4,1,1,4,1,4,6,2,6,1,4,0,0,-0.4001640689034456,5,8,1,10,7,3,5,1,4,4,7,6,5,6,8,1,10,0
67,284,97,325,297,9,9,17,18,3,2,Other,15256,Other,NY,Arts,1,39,22,5,2,0,2,5,3,4,17,10,128604,1444,35673,7,3,40,3,73,70,4,88,4,3,2,5,5,7,10,4,10,8,7,8,10,2,6,10,5,10,7,6,8,9,1,1,-0.2741779869517471,2,4,3,3,3,9,10,4,7,3,1,7,3,8,8,1,1,1
68,137,209,302,404,21,11,13,7,6,2,NYU,12991,Law,TX,Science,0,32,43,1,6,0,2,2,5,7,4,15,61408,927,10655,8,3,28,43,34,18,19,27,9,10,7,1,10,3,3,8,5,6,4,1,4,2,3,5,4,6,1,3,5,3,0,0,0.6549528672077483,2,4,10,9,1,5,1,8,10,5,8,1,8,8,2,1,5,0
69,404,78,303,439,18,3,8,13,14,2,NYU,10136,Business,FL,Other,1,41,32,5,1,0,2,2,3,2,5,8,21016,920,26685,7,3,21,33,65,96,79,53,7,6,7,6,9,9,7,5,7,7,10,9,6,1,10,6,4,6,6,10,10,5,1,1,0.6601322686420441,7,1,1,10,9,1,7,8,1,3,4,7,1,5,8,4,9,1
70,262,171,96,415,16,6,19,17,10,1,Columbia,19406,Business,NY,Law,1,24,36,3,1,0,8,5,4,2,3,9,38819,1158,36745,7,3,51,83,9,15,14,31,7,8,1,8,2,5,4,8,5,4,3,2,2,2,4,6,9,4,5,3,3,4,0,0,0.5344455119699003,7,6,5,8,2,9,2,8,4,5,2,7,1,9,9,4,10,0
71,428,168,232,478,13,13,3,1,8,2,Columbia,14734,Business,CA,Science,1,28,33,3,5,0,1,2,4,5,13,1,64158,1125,19274,7,6,19,77,90,8,41,98,8,6,9,8,7,5,1,6,5,3,7,6,2,1,6,7,8,2,3,2,3,3,0,0,0.3361430028053132,3,3,6,3,4,4,1,4,10,7,5,7,10,5,10,4,2,0
72,17,216,77,469,20,12,13,9,11,2,Other,14116,Other,FL,Medicine,1,24,25,5,4,0,9,4,4,4,18,14,106161,1072,58049,4,5,18,8,65,49,49,62,1,1,1,3,2,4,7,6,1,4,7,2,2,1,4,4,3,5,5,7,3,1,0,0,-0.024315714721306447,8,7,5,10,10,10,7,1,6,4,4,3,8,1,4,1,5,0
73,379,198,115,289,9,1,17,6,3,2,Other,13552,Business,FL,Science,0,21,30,2,4,0,10,3,6,6,12,2,94376,1375,57380,1,1,63,79,20,49,52,22,10,10,6,10,8,6,6,7,7,4,5,9,10,2,7,6,7,7,4,5,8,10,1,1,0.7500222771517908,10,4,1,4,3,2,1,5,9,3,9,2,4,4,4,1,8,1
