gender,age,age_o,race,race_o,samerace,imprace,goal,date,go_out,field_cd,career_c,income,mn_sat,tuition,exphappy,expnum,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,match
1,25,29,4,4,1,8,5,7,4,9,14,32868.0,1320,36987.0,1,6,54,35,15,82,5,33,3,6,8,7,10,3,3,4,9,1,6,10,2,1,8,10,5,2,8,7,5,1,0
1,37,19,6,5,0,1,4,7,7,9,6,26252.95,1494,55324.0,6,8,46,66,12,90,27,70,1,10,1,7,6,4,4,2,9,9,1,10,8,9,1,1,7,6,6,3,10,1,0
1,25,27,3,2,0,3,3,7,6,8,13,53511.0,1559,48234.0,7,9,70,4,15,7,54,48,2,7,2,3,2,6,3,2,1,8,9,10,1,10,10,9,1,10,9,3,6,7,0
1,27,37,5,6,0,1,3,2,1,2,2,44892.0,1430,27553.0,1,1,96,44,11,29,63,50,8,7,9,4,9,5,3,6,1,2,5,1,1,3,6,7,10,2,5,2,5,10,0
1,43,19,2,6,0,6,4,5,5,3,12,40202.0,1053,57566.3,8,2,26,4,18,93,23,96,1,1,1,3,2,10,2,4,10,10,4,3,8,10,8,1,1,9,8,3,6,4,0
1,33,21,2,2,1,2,1,4,6,7,5,56406.0,1476,55856.0,1,1,87,63,45,12,20,65,1,10,9,10,1,3,1,8,5,5,4,2,6,1,9,9,2,4,3,9,7,2,1
1,36,30,2,5,0,8,2,4,6,9,9,133632.0,1440,47705.0,5,5,67,5,47,96,27,48,9,3,5,8,9,9,1,8,5,2,7,4,7,7,10,3,6,2,3,2,1,6,0
0,43,29,5,4,0,9,6,1,7,7,4,141422.0,944,42424.0,9,9,5,66,46,65,6,14,1,9,6,10,3,5,6,3,2,8,7,10,5,3,1,3,4,6,7,2,2,2,0
0,40,28,4,3,0,2,3,2,3,8,16,117587.0,1328,28516.0,7,5,59,65,42,17,94,33,7,8,10,10,2,4,4,7,1,7,6,8,9,7,5,10,2,9,2,3,10,3,0
1,28,27,3,1,0,2,1,7,3,15,5,87921.0,1305,47032.0,9,2,12,38,80,59,75,8,4,10,7,9,8,9,5,8,10,10,7,10,3,9,8,4,6,9,3,6,2,6,0
1,30,32,5,4,0,5,2,2,3,11,13,122571.0,1128,12601.0,7,6,62,94,4,96,7,83,5,3,8,3,2,3,1,4,1,10,9,2,7,8,10,2,2,8,1,10,8,9,0
1,26,22,1,3,0,8,5,7,2,6,12,60356.0,1069,46980.0,6,8,70,39,37,34,36,73,4,1,6,2,1,6,9,2,8,3,9,6,2,8,2,4,6,5,8,7,1,5,0
0,37,42,3,4,0,6,6,1,2,12,5,26252.95,1151,57566.3,3,9,6,6,50,4,67,96,1,2,4,4,2,8,5,7,6,9,10,2,8,10,9,8,10,7,3,5,4,1,0
1,41,34,5,2,0,6,2,7,3,13,4,56392.0,1489,40359.0,5,3,37,69,19,69,72,59,6,9,10,8,10,3,9,2,4,2,8,5,2,2,5,10,3,5,10,2,8,6,0
0,36,22,4,4,1,3,4,4,2,10,1,49285.0,1315,14175.0,6,2,10,35,66,69,22,84,9,3,7,8,3,7,5,7,6,3,9,9,7,9,3,9,1,10,5,1,1,9,0
0,33,19,2,5,0,5,6,4,6,8,16,138754.0,837,25697.0,7,2,57,18,4,76,5,93,10,3,5,1,2,9,10,5,1,3,6,6,6,7,5,3,4,10,3,3,7,2,0
0,24,26,2,5,0,8,6,3,4,11,15,80449.0,1511,55040.0,8,5,6,47,53,78,71,72,10,10,2,2,10,5,1,10,3,2,4,8,1,6,4,8,10,7,10,5,9,7,0
0,36,23,5,5,1,10,6,7,3,14,3,131621.0,852,29317.0,2,5,73,5,81,27,5,77,8,5,9,8,7,4,1,7,6,7,10,9,9,1,10,9,10,1,9,2,3,10,0
0,29,35,6,3,0,3,4,1,3,17,17,36146.0,1278,49367.0,10,4,4,95,68,96,11,56,6,10,3,1,3,1,3,8,2,10,9,8,7,6,8,4,5,3,1,3,4,6,0
1,32,31,1,2,0,5,1,6,7,4,16,54863.0,1021,30046.0,3,1,43,53,82,93,44,79,5,6,10,7,6,5,2,1,2,10,2,7,9,2,7,10,1,8,7,9,7,5,0
1,40,36,4,1,0,3,5,2,2,6,2,50222.0,1463,50444.0,2,9,40,95,63,5,28,95,5,3,3,6,2,5,2,7,7,10,2,6,4,1,6,4,10,9,5,3,6,7,0
1,31,31,2,4,0,2,1,6,7,2,3,104868.0,1118,14890.0,5,1,75,62,37,30,57,58,6,6,9,6,9,6,5,1,9,3,1,4,5,10,3,2,6,8,7,10,2,7,0
1,28,25,4,3,0,2,2,1,6,4,7,112052.0,875,22925.0,9,6,4,53,88,14,39,22,10,5,2,9,10,3,9,8,3,1,10,6,1,5,9,5,8,5,10,5,2,4,0
1,43,34,3,4,0,2,4,6,3,16,14,143471.34999999998,1261,14473.0,9,1,94,75,76,34,85,30,1,8,5,1,2,10,1,10,10,3,1,4,1,3,7,3,4,9,4,8,2,7,0
0,27,20,4,2,0,6,5,4,7,3,3,116012.0,1288,31895.0,10,8,73,88,25,90,63,20,8,7,3,10,8,1,7,6,6,9,1,6,5,8,8,5,5,5,3,4,3,5,1
1,43,27,3,3,1,2,4,4,4,12,8,68842.0,1335,33204.0,3,4,46,77,47,39,86,4,9,6,8,7,9,6,10,1,8,7,3,10,6,5,4,6,3,9,10,6,2,7,0
1,28,34,6,3,0,7,6,7,5,9,8,106251.0,919,56777.0,5,3,45,13,85,91,61,44,3,2,7,3,1,10,8,4,6,6,3,8,9,9,5,2,3,6,2,7,6,10,0
0,23,43,2,3,0,2,1,5,7,4,2,33787.0,1559,51380.0,2,9,92,40,8,16,33,28,5,6,5,8,6,2,1,2,2,3,10,8,3,7,2,9,5,5,1,7,8,7,0
1,19,28,5,6,0,4,2,7,5,5,5,38524.0,1559,19402.0,9,7,30,93,93,73,23,47,5,7,7,1,10,10,10,7,9,4,5,7,7,7,8,10,9,1,2,6,1,1,0
0,28,25,6,1,0,5,1,6,5,15,17,79945.0,1507,34641.0,5,3,56,33,71,56,64,74,4,4,10,9,5,3,5,3,8,3,5,1,6,1,5,5,5,10,9,7,4,10,0
1,36,19,6,5,0,6,6,6,3,1,9,45872.0,1468,24075.0,1,6,18,92,25,17,41,56,3,9,9,2,10,7,8,3,7,9,6,1,7,5,2,9,10,6,1,9,10,2,0
0,23,30,2,2,1,8,1,6,2,14,17,105514.0,1261,15175.0,4,2,80,6,40,31,44,43,9,1,6,9,7,3,7,2,4,10,4,6,3,1,6,6,10,8,1,3,8,10,0
1,31,38,6,4,0,2,5,6,1,9,15,130515.0,1492,27402.0,8,6,59,60,4,96,89,36,5,4,4,2,3,9,2,5,1,4,10,8,6,9,8,6,6,9,10,3,9,3,1
1,37,21,5,4,0,1,5,7,3,7,7,105332.0,1490,38908.0,1,9,31,5,65,38,58,29,9,3,3,2,8,8,2,9,4,7,10,4,3,10,6,5,9,5,7,2,3,5,0
0,23,24,1,6,0,1,5,5,7,12,7,143471.34999999998,837,45328.0,9,7,94,62,59,21,39,31,10,3,7,6,2,5,6,4,6,6,10,7,1,3,2,9,8,5,3,8,9,3,0
0,34,31,2,4,0,10,2,1,1,6,17,26252.95,1501,31147.0,6,9,68,5,83,19,84,36,5,6,2,2,6,2,3,3,3,8,10,8,7,10,6,2,1,1,3,7,4,9,0
0,27,22,6,5,0,8,6,6,5,10,8,29568.0,1297,54469.0,6,4,7,95,85,21,39,42,7,2,2,3,3,8,1,4,5,1,7,10,4,4,7,4,6,9,5,2,5,3,0
0,19,41,5,4,0,2,6,5,7,13,13,141737.0,880,28566.0,6,1,37,40,62,7,48,36,8,3,4,3,7,3,7,4,7,7,8,1,1,7,9,2,1,3,10,9,4,9,0
0,20,28,4,3,0,7,5,6,6,15,7,109247.0,1025,27858.0,8,8,90,4,50,50,69,41,7,3,10,10,1,6,10,1,5,1,6,3,2,10,2,5,9,1,9,3,5,9,0
0,25,34,3,4,0,1,5,2,4,14,8,109948.0,1087,52090.0,6,5,4,36,5,62,95,22,3,9,2,4,3,5,3,8,7,8,8,7,5,1,1,10,7,8,3,5,7,9,0
0,25,22,2,2,1,7,1,2,1,5,9,64501.0,1242,46656.0,7,8,55,46,69,10,59,73,8,2,1,4,5,2,1,9,10,10,9,9,6,1,8,7,4,2,7,9,2,5,0
0,43,37,3,4,0,5,6,7,3,10,12,27011.0,956,30161.0,8,2,61,78,31,88,25,61,10,6,3,1,9,3,3,3,1,1,10,9,4,3,4,7,10,2,8,3,2,8,0
1,37,20,4,6,0,8,3,7,2,1,2,72660.0,1217,12502.4,9,3,88,53,50,4,67,92,7,6,6,3,5,5,8,1,10,7,3,5,1,4,4,7,6,5,6,8,1,10,0
1,39,22,5,2,0,2,5,3,4,17,10,128604.0,1444,35673.0,7,3,40,4,73,70,5,88,4,3,2,5,5,2,4,3,3,3,9,10,4,7,3,1,7,3,8,8,1,1,1
0,32,43,1,6,0,2,2,5,7,4,15,61408.0,927,12502.4,8,3,28,43,34,18,19,27,9,10,7,1,10,2,4,10,9,1,5,1,8,10,5,8,1,8,8,2,1,5,0
1,41,32,5,1,0,2,2,3,2,5,8,26252.95,920,26685.0,7,3,21,33,65,96,79,53,7,6,7,6,9,7,1,1,10,9,1,7,8,1,3,4,7,1,5,8,4,9,1
1,24,36,3,1,0,8,5,4,2,3,9,38819.0,1158,36745.0,7,3,51,83,9,15,14,31,7,8,1,8,2,7,6,5,8,2,9,2,8,4,5,2,7,1,9,9,4,10,0
1,28,33,3,5,0,1,2,4,5,13,1,64158.0,1125,19274.0,7,6,19,77,90,8,41,96,8,6,9,8,7,3,3,6,3,4,4,1,4,10,7,5,7,10,5,10,4,2,0
1,24,25,5,4,0,9,4,4,4,18,14,106161.0,1072,57566.3,4,5,18,8,65,49,49,62,1,1,1,3,2,8,7,5,10,10,10,7,1,6,4,4,3,8,1,4,1,5,0
0,21,30,2,4,0,10,3,6,6,12,2,94376.0,1375,57380.0,1,1,63,79,20,49,52,22,10,10,6,10,8,10,4,1,4,3,2,1,5,9,3,9,2,4,4,4,1,8,1
1,42,33,6,1,0,7,3,3,6,2,4,26555.0,898,18849.0,8,4,6,41,65,87,41,83,9,5,4,6,5,3,1,5,4,1,6,10,1,5,1,8,5,6,8,4,9,7,0
0,29,20,6,5,0,7,1,2,4,3,14,109371.0,1015,12539.0,8,1,96,55,63,38,88,38,8,5,10,6,4,3,2,8,2,4,7,4,5,10,3,4,7,10,7,7,4,3,0
1,43,19,1,6,0,4,1,3,4,11,11,127018.0,1166,45063.0,9,3,19,26,95,36,61,94,10,4,8,6,8,2,9,6,9,4,5,2,8,2,7,10,6,7,9,10,7,8,0
1,23,26,2,5,0,7,3,5,1,15,1,111600.0,1236,57566.3,2,6,36,74,77,52,21,86,7,3,8,3,5,8,4,4,4,7,8,10,1,7,6,2,2,5,1,1,4,10,0
1,31,26,6,4,0,4,1,4,2,14,14,110516.0,1528,47868.0,8,3,37,5,58,23,13,51,8,8,8,4,4,4,6,1,10,6,6,7,6,2,10,4,3,1,5,5,2,2,1
0,29,39,6,1,0,3,1,6,1,18,16,79818.0,880,37397.0,5,2,43,84,53,72,68,23,8,9,7,1,4,5,6,5,4,4,2,4,2,5,7,2,1,2,9,4,5,6,0
1,28,43,2,1,0,7,1,2,5,12,7,46456.0,1477,55325.0,10,2,33,28,9,78,45,45,4,9,6,9,5,5,4,9,3,10,8,6,3,3,9,2,5,9,5,6,9,6,0
0,36,34,2,3,0,3,2,1,7,7,1,48533.0,1482,38565.0,9,4,96,24,67,60,64,35,8,4,8,4,1,8,10,7,6,10,6,2,1,3,10,10,10,7,6,10,8,3,0
1,38,41,6,3,0,1,6,5,3,6,2,38271.0,1559,55713.0,8,4,10,93,28,45,31,17,8,7,3,4,5,6,9,4,2,9,4,10,10,10,2,5,3,3,10,6,3,5,0
0,22,19,5,5,1,10,1,1,3,6,10,118413.0,1495,28394.0,9,9,96,44,20,59,14,62,3,6,2,9,4,10,6,1,4,8,9,7,9,1,9,4,4,10,10,4,8,8,0
1,31,26,3,6,0,7,2,2,2,16,13,88479.0,1210,29406.0,10,7,96,57,72,11,66,75,1,8,10,5,8,2,2,5,3,7,5,9,2,4,4,1,3,7,4,4,7,7,0
0,38,41,4,5,0,9,4,4,6,17,8,50821.0,1410,56668.0,4,2,88,25,93,56,7,42,1,5,3,1,1,1,4,4,2,7,8,5,2,3,3,8,5,7,8,1,8,1,1
0,41,36,2,4,0,3,3,6,3,13,1,88604.0,1315,57566.3,7,6,22,69,5,61,81,48,9,1,9,2,2,8,3,6,1,5,5,2,2,5,8,10,7,5,3,2,10,1,0
1,33,30,6,5,0,3,3,4,6,11,17,26653.0,837,19975.0,7,1,20,4,96,54,35,81,2,2,6,4,3,1,9,4,8,7,9,9,5,9,1,6,3,2,3,1,4,10,0
0,42,22,6,5,0,2,5,3,3,11,17,50696.0,1345,50811.0,6,8,56,26,5,75,43,21,8,1,3,9,5,9,9,9,10,6,4,8,2,9,9,10,3,3,2,6,7,9,0
1,30,26,5,2,0,4,4,2,7,13,15,44249.0,848,29699.0,9,1,67,23,26,31,30,73,10,4,6,9,8,10,8,7,2,4,7,4,10,9,8,10,1,6,10,1,9,1,0
1,42,30,5,4,0,10,4,5,5,7,12,26252.95,966,24557.0,5,5,77,85,4,90,70,61,2,4,3,1,3,4,8,8,10,1,4,10,6,8,7,3,6,1,4,2,1,6,0
1,39,19,5,2,0,4,5,1,7,9,13,30875.0,1133,57237.0,1,7,30,34,90,5,78,51,5,10,8,9,2,4,3,9,3,8,9,5,8,6,4,4,5,2,2,10,7,5,1
1,39,42,1,2,0,8,4,5,5,9,13,122673.0,876,39574.0,2,3,96,37,74,8,75,15,2,5,4,1,10,6,7,2,1,9,8,9,5,7,7,10,5,9,9,6,2,9,1
1,42,32,5,3,0,4,1,3,2,15,4,61098.0,1479,56537.0,4,7,5,94,28,28,65,35,3,4,10,6,4,5,4,1,2,2,7,8,5,9,3,1,1,6,9,7,4,3,0
1,37,21,6,2,0,7,1,2,4,12,14,129233.0,1296,31927.0,3,2,37,59,57,32,84,96,3,4,9,6,10,4,9,6,4,9,10,10,10,10,4,5,3,9,8,9,7,3,0
1,39,21,5,3,0,4,6,1,5,14,7,37162.0,1021,28400.0,9,7,32,40,28,42,16,69,1,1,1,10,3,2,9,7,7,5,5,1,10,5,5,2,2,2,7,10,4,10,0
1,21,37,5,1,0,8,4,5,5,2,11,124579.0,981,52340.0,9,8,33,93,23,22,18,95,8,4,10,6,3,3,6,5,7,5,4,8,6,7,5,4,8,6,9,4,3,7,0
1,28,27,2,3,0,3,2,3,6,12,6,131342.0,855,34071.0,7,5,92,28,80,4,86,70,9,6,6,1,4,1,7,5,1,4,2,5,6,6,10,6,3,10,3,2,1,3,0
1,34,42,4,4,1,6,1,6,1,16,13,44021.0,837,14595.0,8,6,66,17,81,45,92,81,5,3,1,5,7,1,8,9,4,9,9,9,3,1,2,7,8,5,6,7,8,10,0
1,24,23,4,2,0,1,5,6,3,3,2,138480.0,941,39336.0,10,8,24,41,88,4,72,86,9,4,9,7,6,5,1,4,7,1,9,9,8,9,6,7,10,2,4,1,4,10,0
0,31,43,6,5,0,3,5,2,4,14,17,112447.0,985,49310.0,9,2,85,13,68,37,83,62,10,2,7,5,5,8,2,8,10,8,10,9,2,4,9,1,5,1,6,10,5,7,0
0,43,41,1,2,0,2,5,5,4,2,5,118958.0,1109,20753.0,5,6,16,72,49,78,26,42,6,10,3,3,2,5,8,10,5,7,1,5,4,2,10,10,3,2,7,10,3,2,1
1,28,29,5,1,0,2,5,1,2,17,3,77292.0,927,57566.3,6,9,71,33,44,46,95,96,10,4,7,10,10,9,8,4,1,1,2,9,1,5,4,1,2,9,1,5,1,7,0
1,39,37,1,1,1,5,2,6,1,7,7,90726.0,1453,40820.0,6,3,47,4,27,68,54,22,2,6,1,2,4,3,9,9,2,9,3,9,3,6,2,2,6,9,2,10,7,9,1
1,26,33,6,1,0,2,6,3,5,5,17,43701.0,839,37209.0,6,3,83,82,44,55,75,41,7,10,9,7,10,3,6,3,4,6,4,5,1,2,4,2,1,5,7,9,9,3,0
1,40,20,2,2,1,1,5,1,6,1,8,61052.0,1535,16508.0,3,2,21,54,57,60,7,79,10,5,9,8,7,4,2,4,4,1,1,1,7,2,5,1,2,10,10,10,4,7,0
1,30,31,1,1,1,1,2,4,7,14,16,93698.0,1131,27915.0,6,7,90,95,13,41,84,44,8,3,9,9,10,3,10,6,8,10,7,10,3,6,10,3,10,7,8,10,2,4,0
1,40,19,1,4,0,1,5,5,3,13,17,42427.0,1073,26807.0,7,2,19,71,56,90,70,89,8,8,4,8,3,1,6,8,3,1,2,8,1,3,10,7,8,6,5,10,4,10,0
1,35,27,1,2,0,10,1,6,6,10,10,43358.0,1186,57566.3,5,6,87,41,90,21,80,89,1,9,4,5,9,10,3,6,5,6,9,7,4,10,10,4,4,4,4,3,8,2,1
1,28,32,1,3,0,4,4,5,5,2,16,26252.95,1536,30787.0,8,4,48,10,20,82,66,9,7,3,9,7,7,5,6,4,9,4,3,6,1,3,7,4,8,5,6,4,5,2,0
0,32,24,3,6,0,4,4,3,4,7,9,64010.0,1024,27447.0,1,2,11,65,14,56,88,88,3,1,3,8,4,4,8,9,2,7,2,6,7,6,4,10,8,6,3,2,2,6,0
1,42,21,2,2,1,3,2,3,7,12,9,36988.0,1163,45962.0,9,9,96,7,17,45,15,48,3,10,4,9,4,6,3,6,1,7,1,7,9,4,10,4,4,6,1,6,10,2,0
0,43,31,2,5,0,2,4,2,1,11,7,143471.34999999998,1064,53107.0,2,6,83,67,17,35,6,25,6,9,3,5,4,10,3,8,7,1,3,5,9,6,10,10,9,8,4,1,9,4,1
1,42,41,2,5,0,1,1,5,4,12,8,121601.0,1273,37684.0,5,5,37,44,27,8,55,94,3,5,3,3,1,3,6,7,7,7,7,4,7,10,8,2,5,8,6,6,3,9,0
1,39,33,4,6,0,8,1,3,5,14,8,143471.34999999998,1335,18639.0,1,7,4,77,55,19,70,63,8,2,9,3,4,2,10,9,8,8,4,8,9,6,6,9,9,4,9,8,5,10,0
0,36,31,6,6,1,10,2,2,5,6,4,104761.0,1411,40765.0,5,3,42,95,4,10,31,18,4,1,2,4,1,5,7,4,10,8,2,2,2,9,7,4,9,10,9,1,4,4,0
1,19,20,4,1,0,1,6,2,4,7,15,105657.0,1357,57566.3,1,9,24,91,25,42,88,61,7,3,6,2,9,7,1,2,2,3,2,10,1,1,4,5,7,1,9,7,1,2,0
0,21,34,2,3,0,3,1,1,5,18,6,45212.0,1472,29315.0,9,5,57,92,61,27,43,96,4,7,3,2,2,3,4,3,1,6,5,7,5,9,7,9,10,4,10,2,10,10,0
1,31,38,4,2,0,2,6,2,4,18,11,74411.0,865,33929.0,3,2,14,30,21,72,9,86,7,5,6,3,8,6,2,7,10,7,3,3,3,9,10,4,6,7,9,7,6,3,0
1,31,31,1,3,0,5,2,6,6,11,13,134500.0,1413,12506.0,10,8,61,63,23,40,70,27,4,7,10,6,4,5,3,3,4,8,3,9,7,6,4,1,5,5,8,8,3,10,0
0,20,35,4,5,0,4,1,7,4,7,10,48707.0,1535,55941.0,2,2,10,25,62,31,24,80,7,3,1,3,8,5,3,5,4,2,8,6,7,1,3,10,10,10,4,6,10,10,1
1,34,20,5,4,0,9,1,6,5,6,9,26252.95,1016,39016.0,6,9,65,5,65,90,23,21,2,10,9,4,7,5,3,6,9,7,9,2,1,1,6,2,6,4,6,1,10,5,0
0,20,39,3,2,0,9,5,6,4,11,4,109048.0,1228,36253.0,4,2,20,65,78,46,88,18,1,7,9,7,4,1,4,6,6,9,5,2,8,7,6,8,2,6,1,3,7,5,0
1,33,36,3,4,0,3,3,5,5,7,14,143471.34999999998,1092,31422.0,7,9,61,82,36,23,7,24,4,1,9,1,1,6,1,1,5,10,2,1,8,8,8,9,7,9,10,5,3,1,1
0,31,20,5,2,0,4,2,4,6,1,17,68704.0,1377,15769.0,2,3,67,79,47,47,29,23,10,8,1,7,3,8,2,10,1,4,3,5,9,8,2,3,8,7,3,3,5,4,0
0,37,29,1,1,1,9,6,4,4,1,16,44159.0,1497,21719.0,5,1,13,8,23,21,66,96,2,3,8,3,8,10,10,9,6,9,6,8,7,4,1,9,9,4,4,6,1,3,0
1,30,39,4,5,0,9,1,6,7,12,6,103435.0,1316,57566.3,7,2,96,66,53,40,41,17,6,5,8,7,1,7,3,3,2,10,2,7,6,2,7,6,5,4,7,9,8,7,0
1,32,22,1,4,0,6,6,7,6,2,2,46803.0,1280,30568.0,6,8,25,67,84,55,7,43,6,4,1,5,6,1,6,3,6,7,6,2,5,2,5,5,3,10,5,2,10,9,0
0,31,27,3,6,0,5,6,7,5,9,7,113904.0,1559,19630.0,6,6,9,95,83,70,22,20,9,3,7,5,5,1,1,4,7,7,5,7,5,8,5,8,5,10,3,1,9,7,0
1,41,26,6,4,0,10,5,6,5,8,17,119438.0,1003,43634.0,6,3,16,46,37,38,34,26,6,3,5,4,1,3,7,1,3,5,5,9,10,10,3,2,4,5,10,9,5,3,0
1,42,19,5,2,0,10,4,5,1,1,13,36568.0,1518,57566.3,1,6,91,60,62,8,60,69,9,7,1,3,2,6,5,9,2,7,3,10,9,2,1,8,5,9,3,2,1,10,0
1,36,30,2,6,0,3,1,6,2,1,5,61554.0,1371,57566.3,4,8,38,25,77,51,95,4,9,4,4,1,1,3,1,5,8,3,8,8,9,4,10,7,8,7,2,5,10,1,0
0,23,20,1,4,0,2,2,2,5,7,5,126744.0,1222,12502.4,7,4,4,95,17,42,80,45,7,6,10,1,4,7,2,2,1,3,2,1,2,5,7,7,7,8,1,10,4,8,0
0,27,36,1,3,0,10,4,5,7,7,7,78196.0,1533,46220.0,10,3,74,80,51,38,14,77,10,5,1,2,6,4,7,2,9,5,5,5,2,6,5,6,3,10,5,5,6,2,0
0,43,28,5,1,0,2,1,7,2,18,2,143471.34999999998,1189,13566.0,1,7,18,88,35,33,90,13,3,4,7,3,4,7,10,9,7,4,6,4,4,4,3,3,2,2,4,3,2,8,0
0,32,33,2,6,0,2,1,3,4,18,1,134872.0,1448,39113.0,9,9,33,26,4,81,47,44,4,2,10,5,8,8,8,7,5,2,6,8,4,10,3,10,7,1,2,3,3,9,0
0,38,23,6,1,0,1,1,7,7,7,8,53562.0,1135,49141.0,8,2,95,43,24,7,57,90,6,10,5,10,8,10,1,10,3,2,6,2,2,10,6,5,5,9,3,4,2,1,1
0,39,41,5,6,0,10,5,1,1,3,6,26643.0,1286,23162.0,3,4,57,47,61,65,57,32,1,5,2,8,10,3,7,1,6,8,5,9,1,5,8,10,2,7,4,1,4,6,0
