,zipcode,gender,age,age_o,race,race_o,samerace,imprace,goal,date,go_out,field_cd,career_c,income,mn_sat,tuition,exphappy,expnum,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1,attr,sinc,intel,fun,amb,shar,like,prob,met,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,dec,dec_o,int_corr,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,match
go_out,0.0,-0.0,0.01,0.0,0.0,0.0,-0.02,0.01,-0.02,-0.02,1.0,0.01,-0.01,0.0,0.01,-0.0,0.01,0.01,-0.0,-0.0,-0.0,-0.01,-0.02,0.01,0.01,0.02,0.0,-0.01,0.0,-0.0,0.01,0.03,0.0,-0.01,0.02,0.01,0.01,-0.0,0.0,0.01,0.0,0.01,-0.0,0.02,0.01,0.01,0.03,0.01,0.01,0.0,-0.01,0.0,-0.0,-0.01,-0.01,-0.01,-0.0,-0.01,0.01,-0.01,0.0,-0.01,-0.01,-0.0,-0.01,-0.0,0.01
field_cd,-0.0,0.01,0.01,0.01,-0.01,0.0,0.01,0.01,-0.02,-0.0,0.01,1.0,-0.0,0.01,-0.02,-0.02,0.02,-0.0,-0.01,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.01,-0.0,0.01,-0.01,-0.0,-0.01,-0.02,-0.01,0.0,0.0,-0.0,-0.02,-0.01,-0.0,-0.0,-0.01,-0.01,-0.01,-0.0,-0.02,0.0,0.01,0.01,0.0,0.0,0.01,0.02,0.01,0.01,0.0,-0.02,0.01,0.01,0.02,0.0,0.0,0.01,-0.01,-0.01,0.0,-0.01
career_c,0.0,0.0,0.0,-0.01,-0.01,-0.01,-0.01,0.0,-0.02,-0.0,-0.01,-0.0,1.0,-0.01,0.0,-0.01,-0.02,0.01,0.0,0.01,-0.0,-0.0,-0.01,0.01,0.01,-0.01,-0.01,-0.01,0.02,-0.01,0.01,0.01,0.01,0.02,-0.0,0.01,0.01,0.01,-0.01,-0.01,0.01,-0.01,-0.01,-0.01,0.0,-0.01,-0.0,-0.0,-0.02,0.0,0.01,-0.0,-0.02,0.02,0.01,0.02,-0.0,0.01,0.01,0.0,-0.01,-0.01,-0.01,0.0,-0.0,-0.0,-0.01
income,-0.01,-0.0,-0.01,0.02,-0.03,0.01,0.02,-0.01,-0.0,0.0,0.0,0.01,-0.01,1.0,-0.02,0.01,0.0,0.01,-0.01,-0.01,0.0,0.0,0.0,-0.01,0.0,-0.01,0.01,-0.01,-0.0,0.01,0.02,-0.01,0.01,0.01,-0.0,0.01,0.01,-0.02,0.01,0.01,0.01,0.01,-0.01,0.01,0.01,0.01,-0.0,0.02,0.0,0.0,-0.01,0.01,0.01,0.0,-0.01,-0.02,-0.02,-0.01,0.0,-0.0,0.01,0.0,0.0,0.01,-0.01,0.01,0.01
mn_sat,0.01,-0.01,0.01,-0.0,-0.01,-0.0,0.0,0.02,-0.01,-0.01,0.01,-0.02,0.0,-0.02,1.0,0.01,0.0,0.0,-0.01,0.01,-0.01,-0.0,-0.0,0.0,-0.01,0.01,-0.0,-0.02,0.01,0.01,-0.01,0.01,-0.01,-0.02,-0.02,0.01,-0.01,0.01,-0.0,0.0,-0.01,0.0,0.01,-0.01,-0.01,0.01,0.0,-0.0,-0.01,-0.01,-0.0,0.01,-0.0,0.01,-0.0,0.01,-0.01,-0.02,0.02,-0.01,0.0,0.0,0.0,0.0,-0.01,0.02,0.0
tuition,-0.01,0.01,-0.0,0.03,-0.01,-0.0,-0.01,0.01,0.02,0.01,-0.0,-0.02,-0.01,0.01,0.01,1.0,-0.02,0.0,0.02,0.01,0.0,0.01,-0.0,0.0,0.01,-0.0,-0.01,0.01,-0.0,-0.0,-0.01,-0.01,-0.01,-0.0,-0.0,-0.01,-0.01,-0.01,-0.01,0.01,-0.0,-0.0,0.02,0.0,-0.01,-0.01,-0.01,-0.01,0.0,0.02,0.01,0.0,-0.01,-0.0,-0.01,0.0,0.02,-0.01,0.02,-0.0,0.01,0.0,-0.01,-0.0,0.0,0.01,-0.01
exphappy,-0.01,0.01,0.0,-0.01,-0.0,0.01,-0.02,-0.01,0.01,0.0,0.01,0.02,-0.02,0.0,0.0,-0.02,1.0,0.0,0.01,0.0,0.01,0.01,-0.0,-0.01,0.02,-0.0,0.0,0.01,-0.0,-0.0,-0.01,0.0,-0.02,-0.01,-0.01,-0.02,-0.02,0.02,-0.02,-0.0,0.01,-0.01,-0.0,-0.0,-0.02,-0.02,0.0,-0.01,0.01,0.01,-0.01,-0.01,-0.03,-0.01,0.01,0.01,0.01,-0.0,-0.0,-0.02,-0.02,-0.01,0.02,0.0,-0.01,0.01,-0.02
expnum,0.01,0.0,0.01,0.01,0.01,0.01,-0.02,-0.02,0.0,-0.0,0.01,-0.0,0.01,0.01,0.0,0.0,0.0,1.0,0.02,-0.02,0.0,-0.0,0.01,0.0,-0.01,0.01,0.01,-0.0,-0.01,0.01,-0.01,0.0,0.01,0.01,0.0,-0.01,-0.01,0.01,-0.01,0.0,0.01,-0.0,-0.01,0.0,0.0,-0.02,-0.0,-0.02,-0.02,0.01,0.0,-0.01,-0.01,-0.01,0.02,0.0,-0.01,0.01,0.0,-0.0,0.01,0.01,-0.0,0.0,0.01,0.01,-0.0
attr1_1,0.0,0.01,0.0,0.01,0.02,-0.01,-0.02,0.01,-0.01,-0.01,-0.0,-0.01,0.0,-0.01,-0.01,0.02,0.01,0.02,1.0,-0.0,-0.01,-0.01,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.02,0.01,0.0,-0.01,0.0,0.01,0.0,-0.01,0.0,0.01,-0.01,-0.01,0.0,0.01,-0.02,-0.01,-0.01,-0.01,-0.01,0.0,0.0,0.02,0.01,0.01,-0.0,0.0,-0.01,-0.01,-0.01,0.01,0.01,-0.01,-0.01,0.02,-0.01,-0.01,0.01,-0.0,-0.01
sinc1_1,0.02,-0.01,-0.02,0.02,-0.0,0.0,0.02,0.0,-0.0,-0.01,-0.0,-0.0,0.01,-0.01,0.01,0.01,0.0,-0.02,-0.0,1.0,-0.0,0.01,-0.0,-0.01,0.02,0.01,-0.0,-0.01,-0.01,0.01,0.0,0.0,-0.0,0.0,0.01,0.01,0.01,0.0,0.01,-0.01,-0.01,-0.0,-0.02,0.01,0.0,0.0,-0.01,0.01,-0.0,-0.01,-0.0,-0.01,-0.01,-0.01,0.01,-0.01,-0.0,-0.0,0.01,-0.01,-0.01,0.0,-0.0,-0.0,-0.01,0.02,0.0
intel1_1,0.01,0.0,0.0,0.01,0.02,-0.01,0.01,0.02,-0.01,0.01,-0.0,0.0,-0.0,0.0,-0.01,0.0,0.01,0.0,-0.01,-0.0,1.0,0.01,0.01,0.0,0.01,-0.01,-0.0,-0.0,-0.0,-0.02,-0.0,0.01,-0.01,-0.01,-0.01,-0.01,-0.02,0.01,-0.01,-0.0,-0.02,-0.01,-0.03,-0.0,-0.02,-0.02,-0.02,-0.02,-0.01,0.01,0.01,0.01,-0.02,-0.01,-0.01,-0.0,0.0,0.02,0.01,0.0,-0.01,-0.01,-0.0,0.01,-0.01,0.01,-0.02
fun1_1,0.0,-0.01,0.0,0.0,-0.01,0.0,-0.0,-0.01,0.03,0.01,-0.01,0.0,-0.0,0.0,-0.0,0.01,0.01,-0.0,-0.01,0.01,0.01,1.0,-0.01,-0.0,-0.01,0.0,-0.01,0.02,0.02,0.01,0.01,-0.0,0.02,-0.02,0.03,0.01,0.0,0.01,0.01,0.0,0.03,0.02,-0.01,0.02,0.02,0.01,0.01,0.0,0.02,0.01,0.01,0.0,-0.01,0.0,-0.01,0.01,0.01,-0.01,-0.0,-0.01,-0.01,0.0,0.01,-0.01,0.0,-0.01,0.01
amb1_1,-0.01,0.01,-0.01,0.01,-0.02,-0.02,-0.02,-0.01,-0.02,0.01,-0.02,0.0,-0.01,0.0,-0.0,-0.0,-0.0,0.01,0.0,-0.0,0.01,-0.01,1.0,-0.01,0.01,0.01,0.0,-0.0,0.02,0.01,-0.02,-0.01,-0.01,0.02,-0.01,-0.02,-0.01,0.01,-0.0,0.0,0.01,-0.0,0.01,-0.0,-0.01,-0.01,-0.0,-0.01,0.01,0.0,-0.0,-0.0,0.01,0.01,0.02,0.0,0.01,-0.0,-0.01,0.01,0.02,0.0,-0.02,0.01,-0.0,0.0,-0.01
shar1_1,-0.01,-0.01,-0.0,0.01,-0.0,0.02,0.01,-0.02,0.02,0.01,0.01,-0.0,0.01,-0.01,0.0,0.0,-0.01,0.0,-0.0,-0.01,0.0,-0.0,-0.01,1.0,0.0,-0.02,-0.01,0.01,0.03,-0.01,-0.02,-0.02,-0.02,-0.01,-0.01,-0.0,-0.02,0.0,0.01,-0.01,-0.02,-0.0,-0.0,-0.01,-0.02,-0.02,-0.01,-0.01,-0.0,-0.01,-0.02,-0.0,-0.01,-0.01,0.0,0.0,-0.01,-0.01,-0.01,-0.0,-0.0,-0.02,-0.02,0.01,0.01,-0.01,-0.02
attr3_1,-0.01,0.01,0.02,0.0,0.0,-0.02,0.01,-0.01,0.0,0.01,0.01,0.0,0.01,0.0,-0.01,0.01,0.02,-0.01,-0.0,0.02,0.01,-0.01,0.01,0.0,1.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.01,-0.03,-0.0,-0.0,-0.01,-0.0,0.0,0.0,0.0,-0.0,-0.03,0.0,0.0,-0.0,-0.0,-0.02,0.0,-0.0,0.0,-0.01,-0.01,0.01,-0.02,-0.0,-0.01,0.02,0.0,0.01,0.01,-0.01,-0.01,0.02,0.0,-0.0,0.0,-0.0
sinc3_1,0.0,0.0,-0.02,-0.0,-0.02,-0.01,0.02,-0.01,0.0,-0.01,0.02,0.0,-0.01,-0.01,0.01,-0.0,-0.0,0.01,0.0,0.01,-0.01,0.0,0.01,-0.02,-0.0,1.0,-0.01,0.0,0.0,0.01,0.01,0.01,0.01,-0.0,0.02,0.01,0.02,-0.01,0.0,0.01,0.01,0.01,0.0,-0.0,0.0,0.01,0.0,0.02,-0.01,0.01,-0.0,-0.0,-0.01,-0.02,-0.02,0.01,0.0,-0.01,0.01,0.0,0.01,0.0,-0.0,0.0,-0.01,0.01,0.01
intel3_1,0.0,0.01,0.01,-0.0,0.03,-0.01,-0.01,-0.01,0.01,0.01,0.0,0.01,-0.01,0.01,-0.0,-0.01,0.0,0.01,0.0,-0.0,-0.0,-0.01,0.0,-0.01,0.0,-0.01,1.0,0.01,0.01,0.01,-0.01,-0.02,-0.03,-0.02,-0.01,-0.02,-0.03,0.0,-0.01,-0.0,-0.01,-0.02,-0.02,0.01,-0.02,-0.02,-0.01,-0.01,0.0,-0.02,-0.01,0.01,-0.0,-0.01,0.01,0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.0,0.01,0.01,0.0,-0.02
fun3_1,0.0,-0.01,-0.01,-0.02,-0.01,-0.02,0.01,-0.01,-0.01,0.02,-0.01,-0.0,-0.01,-0.01,-0.02,0.01,0.01,-0.0,0.0,-0.01,-0.0,0.02,-0.0,0.01,-0.0,0.0,0.01,1.0,-0.0,-0.01,-0.01,0.0,-0.03,-0.01,0.0,-0.0,-0.01,0.01,-0.01,-0.02,-0.01,-0.01,-0.0,-0.0,-0.01,-0.01,-0.01,0.0,0.02,-0.0,-0.0,0.01,-0.02,-0.01,-0.01,-0.02,0.01,-0.01,0.0,-0.0,-0.01,0.01,-0.01,-0.0,-0.02,0.01,-0.01
amb3_1,-0.0,-0.0,-0.01,0.0,-0.01,0.0,-0.01,-0.01,0.01,0.01,0.0,0.01,0.02,-0.0,0.01,-0.0,-0.0,-0.01,-0.02,-0.01,-0.0,0.02,0.02,0.03,0.0,0.0,0.01,-0.0,1.0,-0.01,0.01,-0.03,-0.01,-0.02,-0.01,0.0,0.0,0.01,-0.01,0.01,-0.01,-0.0,0.0,0.01,-0.01,0.0,-0.01,-0.02,-0.0,0.01,-0.02,0.02,0.03,-0.0,0.0,-0.01,0.0,-0.01,-0.01,0.01,-0.0,0.02,0.01,0.01,-0.01,0.01,-0.01
attr,0.01,0.0,-0.01,0.01,0.0,-0.01,0.0,-0.01,-0.02,0.0,-0.0,-0.01,-0.01,0.01,0.01,-0.0,-0.0,0.01,0.01,0.01,-0.02,0.01,0.01,-0.01,-0.0,0.01,0.01,-0.01,-0.01,1.0,0.33,0.11,0.39,0.24,0.33,0.45,0.48,0.0,0.47,0.31,0.11,0.45,0.24,0.3,0.5,0.52,0.41,0.41,0.01,-0.0,0.0,0.01,-0.0,-0.0,-0.02,0.0,0.01,0.0,0.02,-0.0,0.01,0.0,0.0,0.01,0.01,-0.01,0.6
sinc,-0.01,-0.02,-0.01,-0.01,0.0,0.01,0.0,0.02,0.01,-0.0,0.01,-0.0,0.01,0.02,-0.01,-0.01,-0.01,-0.01,0.0,0.0,-0.0,0.01,-0.02,-0.02,-0.0,0.01,-0.01,-0.01,0.01,0.33,1.0,0.11,0.36,0.24,0.3,0.39,0.43,0.01,0.38,0.37,0.1,0.4,0.23,0.28,0.46,0.46,0.37,0.37,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.02,0.01,0.0,0.01,-0.0,-0.0,0.0,0.01,0.0,0.0,-0.03,0.01,0.54
intel,-0.0,-0.01,0.02,-0.02,0.01,0.0,-0.0,0.0,0.01,-0.01,0.03,-0.01,0.01,-0.01,0.01,-0.01,0.0,0.0,-0.01,0.0,0.01,-0.0,-0.01,-0.02,-0.01,0.01,-0.02,0.0,-0.03,0.11,0.11,1.0,0.14,0.07,0.11,0.15,0.16,-0.0,0.13,0.12,0.12,0.15,0.08,0.11,0.15,0.17,0.14,0.14,0.0,-0.02,0.01,0.0,-0.01,0.0,0.01,-0.0,0.02,0.0,-0.01,0.01,0.0,0.0,0.02,-0.01,-0.0,-0.0,0.2
fun,0.02,0.0,0.01,0.01,0.01,-0.01,0.01,0.01,0.0,0.0,0.0,-0.02,0.01,0.01,-0.01,-0.01,-0.02,0.01,0.0,-0.0,-0.01,0.02,-0.01,-0.02,-0.03,0.01,-0.03,-0.03,-0.01,0.39,0.36,0.14,1.0,0.28,0.36,0.49,0.52,0.01,0.46,0.34,0.11,0.52,0.26,0.34,0.53,0.57,0.44,0.43,0.02,-0.02,0.01,0.01,0.0,-0.01,-0.01,0.0,0.0,-0.0,-0.0,0.01,0.0,0.01,0.02,-0.01,0.0,-0.01,0.66
amb,0.01,0.01,0.02,-0.01,-0.0,0.0,0.01,0.02,0.01,0.03,-0.01,-0.01,0.02,0.01,-0.02,-0.0,-0.01,0.01,0.01,0.0,-0.01,-0.02,0.02,-0.01,-0.0,-0.0,-0.02,-0.01,-0.02,0.24,0.24,0.07,0.28,1.0,0.23,0.31,0.33,0.0,0.3,0.22,0.07,0.31,0.27,0.22,0.33,0.36,0.29,0.3,0.01,-0.03,0.02,0.01,0.01,-0.01,-0.01,-0.02,0.01,-0.0,0.0,0.0,0.02,0.01,-0.01,0.0,-0.02,0.01,0.42
shar,0.0,-0.01,-0.0,-0.01,-0.01,-0.01,0.0,0.0,0.0,0.0,0.02,0.0,-0.0,-0.0,-0.02,-0.0,-0.01,0.0,0.0,0.01,-0.01,0.03,-0.01,-0.01,-0.0,0.02,-0.01,0.0,-0.01,0.33,0.3,0.11,0.36,0.23,1.0,0.4,0.43,-0.01,0.38,0.29,0.1,0.39,0.21,0.37,0.44,0.46,0.36,0.36,0.01,-0.0,0.02,-0.01,0.02,-0.0,-0.01,-0.01,-0.01,0.01,0.02,0.01,-0.01,-0.0,0.0,-0.01,-0.0,-0.01,0.54
like,0.01,0.0,0.01,-0.0,-0.01,-0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.01,0.01,0.01,-0.01,-0.02,-0.01,-0.01,0.01,-0.01,0.01,-0.02,-0.0,-0.01,0.01,-0.02,-0.0,0.0,0.45,0.39,0.15,0.49,0.31,0.4,1.0,0.59,-0.01,0.53,0.39,0.15,0.55,0.3,0.39,0.64,0.64,0.52,0.51,-0.01,-0.03,-0.0,0.0,-0.02,-0.01,-0.0,-0.01,-0.0,0.0,0.01,0.0,0.01,0.0,0.02,-0.01,-0.01,0.01,0.74
prob,0.0,0.0,0.01,-0.01,-0.01,-0.01,-0.0,0.0,-0.0,-0.01,0.01,-0.0,0.01,0.01,-0.01,-0.01,-0.02,-0.01,0.0,0.01,-0.02,0.0,-0.01,-0.02,-0.0,0.02,-0.03,-0.01,0.0,0.48,0.43,0.16,0.52,0.33,0.43,0.59,1.0,0.0,0.55,0.43,0.15,0.58,0.32,0.42,0.64,0.73,0.53,0.54,-0.0,-0.0,0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.01,0.0,-0.0,-0.0,0.01,0.0,0.02,-0.0,-0.02,0.0,0.79
met,0.0,0.0,-0.02,0.01,0.01,-0.02,0.0,-0.01,-0.02,0.01,-0.0,-0.02,0.01,-0.02,0.01,-0.01,0.02,0.01,0.01,0.0,0.01,0.01,0.01,0.0,0.0,-0.01,0.0,0.01,0.01,0.0,0.01,-0.0,0.01,0.0,-0.01,-0.01,0.0,1.0,0.0,0.01,-0.01,0.0,-0.01,0.01,0.0,-0.01,0.0,-0.0,0.03,0.0,0.01,0.0,0.0,-0.0,-0.01,-0.02,-0.0,0.01,0.01,-0.01,-0.02,-0.01,0.01,0.0,-0.01,-0.0,-0.0
attr_o,0.01,0.0,0.02,0.0,-0.01,-0.01,0.01,0.0,-0.01,0.0,0.0,-0.01,-0.01,0.01,-0.0,-0.01,-0.02,-0.01,-0.01,0.01,-0.01,0.01,-0.0,0.01,0.0,0.0,-0.01,-0.01,-0.01,0.47,0.38,0.13,0.46,0.3,0.38,0.53,0.55,0.0,1.0,0.36,0.14,0.51,0.29,0.36,0.56,0.59,0.47,0.47,0.01,-0.0,0.01,0.0,-0.01,-0.01,-0.0,0.01,0.01,-0.01,0.02,-0.0,-0.0,0.02,-0.01,-0.0,-0.01,-0.01,0.7
sinc_o,-0.0,-0.0,0.02,0.01,-0.0,0.0,-0.01,0.02,-0.0,-0.0,0.01,-0.0,-0.01,0.01,0.0,0.01,-0.0,0.0,-0.01,-0.01,-0.0,0.0,0.0,-0.01,0.0,0.01,-0.0,-0.02,0.01,0.31,0.37,0.12,0.34,0.22,0.29,0.39,0.43,0.01,0.36,1.0,0.1,0.39,0.21,0.29,0.45,0.46,0.36,0.36,0.0,-0.01,0.02,-0.0,-0.0,0.0,-0.02,0.01,0.01,-0.01,0.01,0.0,0.0,0.02,0.01,-0.0,-0.0,-0.0,0.54
intel_o,0.01,0.0,0.0,-0.01,-0.01,-0.01,-0.01,-0.01,0.0,0.0,0.0,-0.0,0.01,0.01,-0.01,-0.0,0.01,0.01,0.0,-0.01,-0.02,0.03,0.01,-0.02,-0.0,0.01,-0.01,-0.01,-0.01,0.11,0.1,0.12,0.11,0.07,0.1,0.15,0.15,-0.01,0.14,0.1,1.0,0.15,0.07,0.09,0.16,0.16,0.13,0.12,-0.0,0.01,0.01,0.01,0.0,0.01,-0.02,0.01,0.02,0.0,-0.02,-0.02,0.01,-0.01,-0.02,-0.01,0.0,0.01,0.19
fun_o,0.0,-0.0,0.02,0.01,-0.01,-0.01,0.02,0.01,-0.01,-0.0,0.01,-0.01,-0.01,0.01,0.0,-0.0,-0.01,-0.0,0.01,-0.0,-0.01,0.02,-0.0,-0.0,-0.03,0.01,-0.02,-0.01,-0.0,0.45,0.4,0.15,0.52,0.31,0.39,0.55,0.58,0.0,0.51,0.39,0.15,1.0,0.29,0.38,0.6,0.63,0.51,0.49,0.01,-0.02,0.01,-0.0,0.0,-0.01,-0.01,-0.01,-0.01,-0.01,0.01,0.01,0.01,0.0,-0.0,-0.01,-0.0,0.0,0.74
amb_o,-0.01,0.0,0.01,0.0,-0.01,-0.03,0.02,-0.0,0.01,0.01,-0.0,-0.01,-0.01,-0.01,0.01,0.02,-0.0,-0.01,-0.02,-0.02,-0.03,-0.01,0.01,-0.0,0.0,0.0,-0.02,-0.0,0.0,0.24,0.23,0.08,0.26,0.27,0.21,0.3,0.32,-0.01,0.29,0.21,0.07,0.29,1.0,0.21,0.33,0.34,0.29,0.26,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.0,-0.01,0.01,-0.01,0.0,0.0,-0.01,0.0,0.0,0.01,0.0,0.4
shar_o,0.01,-0.01,0.02,-0.02,-0.0,-0.01,0.02,0.03,-0.01,-0.01,0.02,-0.01,-0.01,0.01,-0.01,0.0,-0.0,0.0,-0.01,0.01,-0.0,0.02,-0.0,-0.01,0.0,-0.0,0.01,-0.0,0.01,0.3,0.28,0.11,0.34,0.22,0.37,0.39,0.42,0.01,0.36,0.29,0.09,0.38,0.21,1.0,0.43,0.44,0.35,0.36,0.02,-0.0,0.0,0.0,0.01,-0.02,-0.01,-0.0,-0.0,-0.0,0.01,-0.01,0.02,0.01,0.02,-0.01,-0.01,0.02,0.52
