,count,mean,std,min,25%,50%,75%,max,missing_count,missing_pct
attr1_1,8378.0,49.52375268560515,29.34755443102878,0.0,24.0,49.0,75.0,100.0,0,0.0
sinc1_1,8378.0,49.49140606349964,29.039972947602582,0.0,24.0,49.0,75.0,100.0,0,0.0
intel1_1,8378.0,49.38147529243256,29.233417025722588,0.0,24.0,49.0,74.0,100.0,0,0.0
fun1_1,8378.0,50.02220100262593,29.24385883036199,0.0,24.0,50.0,75.0,100.0,0,0.0
amb1_1,8378.0,49.828001909763664,29.26484374185252,0.0,24.0,50.0,75.0,100.0,0,0.0
shar1_1,8378.0,49.87001671043208,29.277539859777445,0.0,24.0,50.0,75.0,100.0,0,0.0
attr3_1,8378.0,5.510861780854619,2.876336080656934,1.0,3.0,6.0,8.0,10.0,0,0.0
sinc3_1,8378.0,5.511339221771306,2.881144482109743,1.0,3.0,5.0,8.0,10.0,0,0.0
intel3_1,8378.0,5.512652184292194,2.862975502806882,1.0,3.0,6.0,8.0,10.0,0,0.0
fun3_1,8378.0,5.511577942229649,2.875793706107306,1.0,3.0,5.0,8.0,10.0,0,0.0
amb3_1,8378.0,5.517426593459059,2.864075998631094,1.0,3.0,6.0,8.0,10.0,0,0.0
attr,8378.0,4.623895917880162,2.4026937659312186,1.0,3.0,5.0,6.0,10.0,0,0.0
sinc,8378.0,4.567915970398663,2.3311258574477884,1.0,3.0,5.0,6.0,10.0,0,0.0
intel,8378.0,5.69288613034137,2.8211330089847295,1.0,3.0,6.0,8.0,10.0,0,0.0
fun,8378.0,4.739675340176653,2.4959136214319257,1.0,3.0,5.0,7.0,10.0,0,0.0
amb,8378.0,4.3731200763905465,2.170472257341283,1.0,3.0,4.0,6.0,9.0,0,0.0
shar,8378.0,4.5187395559799475,2.331220645231666,1.0,3.0,5.0,6.0,10.0,0,0.0
like,8378.0,4.30568154690857,2.442367807262629,1.0,2.0,4.0,6.0,10.0,0,0.0
prob,8378.0,3.761518262115063,2.304593496976951,1.0,2.0,3.0,5.0,10.0,0,0.0
met,8378.0,1.5115779422296491,0.49989576800685365,1.0,1.0,2.0,2.0,2.0,0,0.0
attr_o,8378.0,4.206970637383624,2.3439760700511174,1.0,2.0,4.0,6.0,10.0,0,0.0
sinc_o,8378.0,4.548102172356171,2.31672389391518,1.0,3.0,5.0,6.0,10.0,0,0.0
intel_o,8378.0,5.689066603007878,2.807351884459731,1.0,3.0,6.0,8.0,10.0,0,0.0
fun_o,8378.0,4.270947720219623,2.44253396024745,1.0,2.0,4.0,6.0,10.0,0,0.0
amb_o,8378.0,4.423012652184292,2.1454467517124334,1.0,3.0,4.0,6.0,9.0,0,0.0
shar_o,8378.0,4.541298639293387,2.3205105236698484,1.0,3.0,5.0,6.0,10.0,0,0.0
like_o,8378.0,3.8605872523275244,2.4169422569744667,1.0,2.0,4.0,5.0,10.0,0,0.0
prob_o,8378.0,3.3794461685366435,2.300789050108765,1.0,2.0,3.0,4.0,10.0,0,0.0
dec,8378.0,0.289448555741227,0.45353350575375856,0.0,0.0,0.0,1.0,1.0,0,0.0
dec_o,8378.0,0.28897111482454046,0.4533115232538144,0.0,0.0,0.0,1.0,1.0,0,0.0
int_corr,8378.0,0.0070454236276187325,0.5761613256092718,-0.9999553518927476,-0.5003352478153986,0.0088834132151439,0.5049958416857304,0.9999892185123412,0,0.0
sports,8378.0,5.542492241585104,2.8565515790823635,1.0,3.0,6.0,8.0,10.0,0,0.0
tvsports,8378.0,5.505968011458582,2.856150972276975,1.0,3.0,6.0,8.0,10.0,0,0.0
exercise,8378.0,5.505013129625209,2.871450805784643,1.0,3.0,5.0,8.0,10.0,0,0.0
dining,8378.0,5.46944378133206,2.9002080253713998,1.0,3.0,5.0,8.0,10.0,0,0.0
museums,8378.0,5.459059441394127,2.864711581815101,1.0,3.0,6.0,8.0,10.0,0,0.0
art,8378.0,5.544521365481022,2.880325458003382,1.0,3.0,6.0,8.0,10.0,0,0.0
hiking,8378.0,5.468369539269515,2.8813246096641016,1.0,3.0,5.0,8.0,10.0,0,0.0
gaming,8378.0,5.465027452852709,2.891625170305524,1.0,3.0,5.0,8.0,10.0,0,0.0
clubbing,8378.0,5.52112676056338,2.8582516597112937,1.0,3.0,5.0,8.0,10.0,0,0.0
reading,8378.0,5.482692766770112,2.8589037412596507,1.0,3.0,5.0,8.0,10.0,0,0.0
tv,8378.0,5.485079971353545,2.886095868282806,1.0,3.0,5.0,8.0,10.0,0,0.0
theater,8378.0,5.529243256147052,2.879899412857613,1.0,3.0,6.0,8.0,10.0,0,0.0
movies,8378.0,5.479947481499164,2.866766746520077,1.0,3.0,5.0,8.0,10.0,0,0.0
concerts,8378.0,5.419789925996658,2.8549887609077977,1.0,3.0,5.0,8.0,10.0,0,0.0
music,8378.0,5.492480305562187,2.867451553597718,1.0,3.0,5.0,8.0,10.0,0,0.0
shopping,8378.0,5.49558367152065,2.8795885389230915,1.0,3.0,5.0,8.0,10.0,0,0.0
yoga,8378.0,5.499761279541657,2.8778917449435224,1.0,3.0,6.0,8.0,10.0,0,0.0
match,8378.0,0.1571974218190499,0.3640085272165923,0.0,0.0,0.0,0.0,1.0,0,0.0
